Unnamed: 0,task_name,role,goal,location,company_level,fred_category,user_intent,difficulty
0,accept commissions to create music for special occasions.,Music Composer,Create music for special occasions to accept commissions.,"Diverse (various events, ceremonies, etc.)",Specialist,Professional Services,"The user is looking to earn money by composing music for various special occasions such as weddings, birthdays, and more.",Moderate
1,act as advisers to student organizations.,Advisers to Student Organizations,"Provide guidance and support to student organizations for their growth, success, and compliance with university policies.","Various locations on a university campus, including meeting rooms, online platforms, etc.",Specialist,Education and Health Services,To assist student organizations in achieving their goals within the university's framework while promoting student development and engagement.,Moderate
2,act as an advocate for farmers or farmers' groups.,Advocate for Farmers or Farmers' Groups,"To advocate and promote the interests of farmers or farmers' groups to ensure fair policies, support agricultural development, enhance market access, and address challenges faced by farmers.","Various contexts including rural areas, agribusiness meetings, governmental forums, etc.",Specialist,Agriculture,To advocate for fair treatment and supportive policies from government bodies and stakeholders in the agricultural sector.,Moderate
3,act as an intermediary in negotiations between buyers and sellers over property prices and settlement details and during the closing of sales.,Intermediary,Facilitate negotiations between buyers and sellers over property prices and settlement details during the closing of sales.,"Not specified, can be any setting where real estate transactions occur (office, online platform, physical location)",Specialist or Mid-Level,Other Services,To assist in resolving disputes and ensuring a smooth property transaction between buyers and sellers.,Moderate
4,"act as an intermediary in negotiations between buyers and sellers, generally representing one or the other.",Intermediary Negotiator,Represent and mediate between buyers and sellers in negotiations to facilitate a successful transaction,"Various negotiation settings such as offices, meeting rooms, online platforms",Specialist,Wholesale Trade,To assist in reaching an agreement between parties during business transactions through effective communication and conflict resolution.,Moderate
5,act as liaisons between on-site managers or tenants and owners.,Liaison Coordinator,"To act as a bridge between on-site managers or tenants and owners to facilitate communication, resolve issues, and ensure smooth operations.","On-site or within the property management context (e.g., office spaces, residential complexes)",Mid-level,Wholesale Trade,To improve communication channels between different stakeholders in a property management setting and resolve conflicts efficiently.,Moderate
6,adapt instructional content or delivery methods for different levels or types of learners.,Instructional Designer or Curriculum Developer,Adapt instructional content or delivery methods for different levels or types of learners.,"Various settings including schools, universities, training centers, online platforms, etc.",Specialist,Professional Services,"To ensure that educational materials and teaching methods are suitable for diverse audiences, enhancing learning outcomes across different skill levels and preferences.",Moderate
7,adapt or design computer hardware or software for medical science uses.,Computer Hardware or Software Engineer specializing in Medical Science,"Adapt, design, and implement computer hardware or software solutions for use in medical science applications","Various research settings including hospitals, clinics, laboratories, and universities, as well as office environments where these systems are developed and tested",Specialist,Information,"To develop computer hardware or software solutions tailored for medical science applications such as diagnostics, patient monitoring, research tools, etc.",Moderate
8,adapt software and accompanying technical documents to another language and culture.,Technical Translator,To adapt software and accompanying technical documents to another language and culture.,Office or remote work environment,Specialist,Information,The user was trying to ensure that software documentation is translated accurately into a different language and culturally appropriate for the target audience.,Moderate
9,adapt teaching methods and instructional materials to meet students' varying needs and interests.,Educator,Adapt teaching methods and instructional materials to meet students' varying needs and interests.,School or Educational Institution,Specialist,Education and Health Services,To ensure that educational content is tailored to accommodate diverse student abilities and preferences for effective learning outcomes.,Moderate
10,adapt text to accommodate musical requirements of composers and singers.,Text Adaptation Specialist,Adapt text to accommodate musical requirements of composers and singers.,"Various settings including studios, offices, or production houses where music is composed and performed.",Specialist,Information,To ensure that the text used in conjunction with musical compositions by composers aligns with vocal performance requirements for singers.,Moderate
11,adapt the quantity of ingredients to match the amount of items to be baked.,Cook or Baker,Adjust ingredient quantities to match the number of items being baked.,Kitchen/Baking Area,Mid-level,Manufacturing,To adjust recipe proportions for a specific batch size while maintaining consistent taste and quality.,Moderate
12,"adapt translations to students' cognitive and grade levels, collaborating with educational team members as necessary.",Translator,Adapt translations to students' cognitive and grade levels while collaborating with educational team members as necessary.,Educational setting (school or similar institution),Specialist,Education and Health Services,To ensure that translated materials are understandable and appropriate for the academic level of students.,Moderate
13,"address employee relations issues, such as harassment allegations, work complaints, or other employee concerns.",Human Resources Manager or Employee Relations Specialist,"Address and resolve employee relations issues including harassment allegations, work complaints, or other employee concerns",Office Environment,Mid-Level,Professional Services,To maintain a positive workplace environment by addressing and resolving various employee concerns and ensuring fair treatment of all employees.,Moderate
14,"address legal issues, such as child abuse and discipline, assisting with hearings and providing testimony to inform custody arrangements.",Legal Advocate or Social Worker,"Addressing legal issues, such as child abuse and discipline, assisting with hearings and providing testimony to inform custody arrangements.",Courtroom or Legal Office,Specialist,Other Services,To ensure that children are protected from abuse while making informed decisions about their custody arrangement in court proceedings.,Moderate
15,"address the relationships of quantities, magnitudes, and forms through the use of numbers and symbols.",Mathematician or Data Analyst,"Analyze the relationships of quantities, magnitudes, and forms using numbers and symbols.","Not specified in the task description; can be performed anywhere with a computer or calculator (e.g., office, home, library).",Expert,Other Services,To understand and represent relationships through numerical and symbolic data analysis.,Expert
16,"adjust controls to regulate temperature, pressure, feed, or flow of liquids or gases and times of prescribed reactions, according to knowledge of equipment and processes.",Chemical Engineer or Process Technician,Adjust controls to regulate various process parameters in a laboratory or industrial setting,"Factory, Laboratory",Mid-level,Manufacturing,"To ensure that chemical reactions are carried out as intended by adjusting the conditions of temperature, pressure, feed, and flow.",Moderate
17,"adjust digital files to alter print elements, such as fonts, graphics, or color separations.",Digital Content Editor,"Adjust digital files to modify print elements like fonts, graphics, or color separations.",Online/Remote (working with digital files),Specialist,Information,To update and improve the visual appearance of printed materials in digital formats.,Moderate
18,adjust sales scripts to better target the needs and interests of specific individuals.,Salesperson,Adjust sales scripts to better target the needs and interests of specific individuals.,"Various locations where sales activities take place (e.g., retail stores, customer service centers, online platforms)",Specialist,Retail Trade,To improve sales effectiveness by customizing scripts to better engage with customers and increase satisfaction and likelihood of purchase.,Moderate
19,"adjust, maintain, or repair laboratory equipment such as microscopes.",Lab Technician,"Adjust, maintain, or repair laboratory equipment such as microscopes.","Laboratory (could be in an academic institution, research lab, hospital, etc.)",Mid-Level,Manufacturing,To ensure the proper functioning and maintenance of laboratory instruments like microscopes for accurate scientific experiments.,Moderate
20,"adjust, repair, or replace malfunctioning components or assemblies, using hand tools or soldering irons.",Technician,"Adjust, repair, or replace malfunctioning components or assemblies using hand tools or soldering irons.",Factory/Workshop,Specialist,Manufacturing,To fix and maintain machinery within a manufacturing environment by replacing faulty parts with the appropriate tools.,Moderate
21,administer document and system access rights and revision control to ensure security of system and integrity of master documents.,IT Administrator or Security Officer,To ensure security of the system and integrity of master documents by administering document and system access rights and revision control.,"Various IT environments including data centers, office networks, etc.",Mid-level,Information,To maintain secure access to systems and documents to prevent unauthorized changes or breaches of confidentiality.,Moderate
