,task_name
0,accept commissions to create music for special occasions.
1,act as advisers to student organizations.
2,act as an advocate for farmers or farmers' groups.
3,act as an intermediary in negotiations between buyers and sellers over property prices and settlement details and during the closing of sales.
4,"act as an intermediary in negotiations between buyers and sellers, generally representing one or the other."
5,act as liaisons between on-site managers or tenants and owners.
6,adapt instructional content or delivery methods for different levels or types of learners.
7,adapt or design computer hardware or software for medical science uses.
8,adapt software and accompanying technical documents to another language and culture.
9,adapt teaching methods and instructional materials to meet students' varying needs and interests.
10,adapt text to accommodate musical requirements of composers and singers.
11,adapt the quantity of ingredients to match the amount of items to be baked.
12,"adapt translations to students' cognitive and grade levels, collaborating with educational team members as necessary."
13,"address employee relations issues, such as harassment allegations, work complaints, or other employee concerns."
14,"address legal issues, such as child abuse and discipline, assisting with hearings and providing testimony to inform custody arrangements."
15,"address the relationships of quantities, magnitudes, and forms through the use of numbers and symbols."
16,"adjust controls to regulate temperature, pressure, feed, or flow of liquids or gases and times of prescribed reactions, according to knowledge of equipment and processes."
17,"adjust digital files to alter print elements, such as fonts, graphics, or color separations."
18,adjust sales scripts to better target the needs and interests of specific individuals.
19,"adjust, maintain, or repair laboratory equipment such as microscopes."
20,"adjust, repair, or replace malfunctioning components or assemblies, using hand tools or soldering irons."
21,administer document and system access rights and revision control to ensure security of system and integrity of master documents.
22,"administer highway planning, construction, or maintenance."
23,administer online purchasing systems.
24,administer standardized ability and achievement tests and interpret results to determine students' strengths and areas of need.
25,"administer treatments or therapies, such as homeopathy, hydrotherapy, oriental or ayurvedic medicine, electrotherapy and diathermy, using physical agents including air, heat, cold, water, sound, or ultraviolet light to catalyze the body to heal itself."
26,"administer, dispense, or prescribe natural medicines such as food or botanical extracts, herbs, dietary supplements, vitamins, nutraceuticals, and amino acids."
27,"administer, proctor, or score academic or diagnostic assessments."
28,"advise animal owners regarding sanitary measures, feeding, general care, medical conditions, or treatment options."
29,"advise attorneys, juries, litigants, and court personnel regarding conduct, issues, and proceedings."
30,"advise business or other groups on local, national, or international factors affecting the buying or selling of products or services."
31,"advise client on interior design factors such as space planning, layout and use of furnishings or equipment, and color coordination."
32,advise clients about proper clothing and shoes.
33,"advise clients concerning business transactions, claim liability, advisability of prosecuting or defending lawsuits, or legal rights and obligations."
34,advise clients on financial and legal matters such as investments and taxes.
35,advise clients on how they could be helped by counseling.
36,"advise clients on market conditions, prices, mortgages, legal requirements and related matters."
37,advise clients on nail care and use of products and colors.
38,"advise clients or community groups on issues related to improving general health, such as diet or exercise."
39,"advise construction firms or government agencies on dam or road construction, foundation design, land use, or resource management."
40,advise corporations on issues involving corporate image projects or problems.
41,advise customer about or perform maintenance of software system.
42,"advise customers concerning equipment operation, maintenance, or programming."
43,advise customers of necessary actions and strategies for debt repayment.
44,advise customers on plant selection or care.
45,advise customers on product usage to improve production.
46,advise customers on use and care of merchandise.
47,advise farm groups or growers on land preparation or livestock care techniques that will maximize the quantity and quality of production.
48,"advise farmers and demonstrate techniques in areas such as feeding and health maintenance of livestock, growing and harvesting practices, and financial planning."
49,advise farmers or growers of development programs or new equipment or techniques to aid in quality production.
50,"advise food service managers and organizations on sanitation, safety procedures, menu development, budgeting, and planning to assist with the establishment, operation, and evaluation of food service facilities and nutrition programs."
51,advise internal management or business partners on the implementation or operation of compliance programs.
52,"advise licensees or other individuals or groups concerning licensing, permit, or passport regulations."
53,"advise management concerning personnel, managerial, and marketing policies and practices and their potential effects on organizational effectiveness and efficiency."
54,advise management on matters related to the administration of contracts or employee discipline or grievance procedures.
55,"advise management on organizing, preparing, or implementing recruiting or retention programs."
56,"advise management on short-term and long-term financial objectives, policies, and actions."
57,"advise management on such matters as equal employment opportunity, sexual harassment and discrimination."
58,"advise management regarding customer satisfaction, product performance, or suggestions for product improvements."
59,"advise managers and employees on state and federal employment regulations, collective agreements, benefit and compensation policies, personnel procedures and classification programs."
60,"advise managers on organizational policy matters such as equal employment opportunity and sexual harassment, and recommend needed changes."
61,advise or assist in obtaining patents or meeting other legal requirements.
62,advise or consult with individuals and institutions regarding issues such as the historical authenticity of materials or the customs of a specific historical period.
63,"advise or instruct patients regarding preventive dental care, the causes and treatment of dental problems, or oral health care services."
64,advise participants in use of heat or ultraviolet treatments and hot baths.
65,advise patients about recommended courses of treatment.
66,advise patients about therapeutic exercise and nutritional medicine regimens.
67,"advise patients and community members concerning diet, activity, hygiene, and disease prevention."
68,"advise patients and their families on nutritional principles, dietary plans and diet modifications, and food selection and preparation."
69,"advise patients, parents or guardians, and community members concerning diet, activity, hygiene, and disease prevention."
70,"advise personnel about traffic problems, such as construction areas, accidents, congestion, weather conditions, or other hazards."
71,"advise planning officials on project feasibility, cost-effectiveness, regulatory conformance, or possible alternatives."
72,advise producers about improved products and techniques that could enhance their animal production efforts.
73,"advise project teams on subjects such as premarket regulatory requirements, export and labeling requirements, or clinical study compliance issues."
74,advise students on academic and vocational curricula and on career issues.
75,"advise students on academic and vocational curricula, and on career issues."
76,"advise students on academic and vocational curricula, career issues, and laboratory and field research."
77,"advise students on internships, prospective employers, and job placement services."
78,"advise students on issues such as course selection, progress toward graduation, and career decisions."
79,advocate for accessible health care that minimizes environmental health risks.
80,"advocate for patients' and families' needs, or provide emotional support for patients and their families."
81,"advocate for sustainability to community groups, government agencies, the general public, or special interest groups."
82,"align, adjust, or calibrate equipment according to specifications."
